1,54,2023-06-12,8,3.00,0,0,4,Night,Suspicious
2,14,2024-03-06,4,4.00,0,1,4,Morning,Suspicious
3,80,2026-02-28,2,4.00,0,1,10,Night,Authentic
4,44,2020-05-02,1,2.00,1,1,1,Night,Fraud
5,47,2026-03-18,8,3.00,0,1,9,Afternoon,Authentic
6,107,2025-05-30,1,4.00,1,1,1,Night,Fraud
7,52,2022-06-16,6,5.00,1,0,8,Morning,Authentic
8,22,2026-03-07,3,1.00,1,1,2,Night,Fraud
9,102,2020-06-04,4,1.00,0,1,8,Morning,Authentic
10,58,2021-01-21,1,3.00,0,0,3,Afternoon,Suspicious
11,93,2022-03-19,3,4.00,1,0,5,Night,Suspicious
12,102,2020-03-29,5,3.00,0,0,4,Night,Suspicious
13,41,2025-06-13,3,2.00,1,0,1,Night,Fraud
14,39,2025-06-15,7,3.00,1,1,2,Night,Fraud
15,81,2023-11-12,6,5.00,1,1,3,Morning,Suspicious
16,46,2024-09-06,4,3.00,1,0,1,Morning,Fraud
17,73,2020-03-09,7,2.00,0,1,5,Night,Suspicious
18,67,2024-02-17,8,2.00,0,0,10,Morning,Authentic
19,5,2025-06-07,2,2.00,1,1,1,Night,Fraud
20,78,2022-05-03,1,4.00,0,0,5,Afternoon,Suspicious
21,107,2023-03-13,1,1.00,1,1,6,Night,Authentic
22,13,2022-07-21,3,3.00,0,1,6,Night,Authentic
23,111,2022-06-06,8,2.00,0,0,2,Afternoon,Fraud
24,34,2021-12-08,8,4.00,0,0,5,Night,Suspicious
25,110,2021-04-16,5,3.00,1,0,3,Afternoon,Suspicious
26,61,2023-01-23,2,2.00,1,1,9,Night,Authentic
27,65,2024-03-17,3,3.00,1,0,2,Night,Fraud
28,111,2022-09-24,7,2.00,1,0,6,Night,Authentic
29,35,2024-06-25,7,4.00,0,1,9,Night,Authentic
30,26,2024-07-08,2,3.00,0,1,3,Evening,Suspicious
31,102,2024-02-29,6,3.00,1,1,9,Evening,Authentic
32,64,2022-06-01,1,4.00,0,0,8,Night,Authentic
33,114,2025-02-26,8,1.00,0,0,9,Night,Authentic
34,8,2025-10-17,1,2.00,0,1,2,Evening,Fraud
35,68,2026-02-26,7,4.00,0,1,9,Night,Authentic
36,9,2021-04-14,3,5.00,1,1,5,Night,Suspicious
37,112,2025-06-12,7,5.00,0,0,8,Night,Authentic
38,79,2024-04-16,3,1.00,1,1,9,Evening,Authentic
39,31,2022-01-05,4,3.00,1,0,8,Afternoon,Authentic
40,40,2020-08-31,7,3.00,0,1,10,Morning,Authentic
